"Source:","C:\SPB_Data\eSim-Workspace\esp32evalutionboard\esp32evalutionboard.kicad_sch"
"Date:","22-08-2026 04:37:48"
"Tool:","Eeschema (6.0.11)"
"Generator:","C:\FOSSEE\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","43"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"111U1, ","1","3.0SMCJ30A","3.0SMCJ30A","footprints:SOD-323_1P8X1P35_ONS","ESD Suppressors / TVS Diodes TVS 3KW 30V 5%UNI DO-214AB TR13 RoHS",""
"C1, C5, C6, ","3"," 10uF","cap","Capacitor_SMD:C_0805_2012Metric","",""
"C2, C3, ","2"," 100nF","cap","Capacitor_SMD:C_0805_2012Metric","",""
"C4, ","1"," 4.7uF","cap","Capacitor_SMD:C_0805_2012Metric","",""
"C7, C9, C13, C14, ","4"," 4u7","capacitor","Capacitor_SMD:C_0805_2012Metric","",""
"C8, ","1","4u7","capacitor","Capacitor_SMD:C_0805_2012Metric","",""
"C10, C11, C12, ","3","100n","capacitor","Capacitor_SMD:C_0805_2012Metric","",""
"D1, ","1","PESD5V0L4UF","PESD5V0L4UF","Package_TO_SOT_SMD:SOT-886","Low capacitance unidirectional quadruple ESD protection diode array, 5.0V, Common Anode, SOT-886",""
"J1, ","1","EJ508B","EJ508B","EJ508B:MPD_EJ508B","",""
"J2, ","1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV","USB 2.0-only Type-C Receptacle connector",""
"J3, J4, ","2","Conn_01x08_Male","Conn_01x08_Male","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"L1, ","1"," 4.7uF","ind","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","",""
"Q1, ","1","STN3P6F6","STN3P6F6","STN3PF6:SOT223_STN3_STM","",""
"R1, ","1","F100","resistor","Resistor_SMD:R_0805_2012Metric","",""
"R2, ","1"," 100k","resistor","Resistor_SMD:R_0805_2012Metric","",""
"R3, ","1"," 88.7k","resistor","Resistor_SMD:R_0805_2012Metric","",""
"R4, ","1"," 22.1k","resistor","Resistor_SMD:R_0805_2012Metric","",""
"R5, ","1","5k1","resistor","Resistor_SMD:R_0402_1005Metric","",""
"R6, R11, ","2"," 5k1","resistor","Resistor_SMD:R_0402_1005Metric","",""
"R7, ","1","0R","resistor","Resistor_SMD:R_0805_2012Metric","",""
"R8, R9, R12, R13, ","4","10k","resistor","Resistor_SMD:R_0402_1005Metric","",""
"R10, ","1","100k","resistor","Resistor_SMD:R_0402_1005Metric","",""
"SW1, SW2, ","2","SW_Push","SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P","Push button switch, generic, two pins",""
"U1, ","1","MM3Z12VT1","MM3Z12VT1","MM3Z12VT1:SOD-323_1P8X1P35_ONS","",""
"U2, ","1","LMR50410YQDBVRQ1","LMR50410YQDBVRQ1","LMR5410YQDBVRQ1:DBV0006A-IPC_A","",""
"U3, ","1","LM1117MPX-3.3_NOPB","LM1117MPX-3.3_NOPB","LM1117MPX-3-3-NOPB:DCY0004A_L","",""
"U4, ","1","USBLC6-2SC6","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",""
"U5, ","1","ESP32-C3-WROOM-02-N4","ESP32-C3-WROOM-02-N4","ESP32-C3-WROOM-02-N4:MODULE_ESP32-C3-WROOM-02-H4","",""
"Y1, ","1","Crystal","Crystal","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","Two pin crystal",""
